Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A817844,"4706 CANYONWOOD DRIVE
AUSTIN 78735
(30.244964, -97.826427)",No (contact for more info),05/27/2020,Dog,Australian Kelpie,Black/Red,Intact Male,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817844
A817850,"8608 TALYNE CHAISE CIRCLE
AUSTIN 78729
(30.459005, -97.767064)",No (contact for more info),05/27/2020,Dog,Australian Kelpie,Chocolate,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817850
A817930,"6703 SANTOS
AUSTIN 78741
(30.22705, -97.697688)",No (contact for more info),05/29/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817930
A817931,"6703 SANTOS
AUSTIN 78741
(30.22705, -97.697688)",No (contact for more info),05/29/2020,Cat,Domestic Shorthair Mix,White/Blue,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817931
A817848,"10050 GREAT HILLS TRAIL
AUSTIN 78759
(30.393273, -97.741246)",No (contact for more info),05/27/2020,Dog,Boxer,Red/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817848
A818051,"1126 TERRY DR
AUSTIN 78721
(30.268729, -97.67977)",Yes (come to the shelter),06/01/2020,Dog,Pit Bull,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818051
A698856,VINCENT PL78660,No (contact for more info),05/29/2020,Dog,Pit Bull Mix,Red,Spayed Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A698856
A698855,VINCENT PL78660,No (contact for more info),05/29/2020,Dog,Labrador Retriever/Australian Shepherd,Tricolor,Neutered Male,13 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A698855
A818054,"8503 SPRINGDALE ROAD
AUSTIN 78754
(30.329656, -97.654554)",Yes (come to the shelter),06/01/2020,Dog,American Staffordshire Terrier,Chocolate/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818054
A617809,"2200 MAN O WAR DRIVE78617
(30.216985, -97.523524)",Yes (come to the shelter),05/30/2020,Dog,Pit Bull Mix,Tan/White,Neutered Male,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A617809
A818019,"308 BLACKSON AVE
AUSTIN 78752
(30.337303, -97.706908)",No (contact for more info),05/30/2020,Dog,Maltese/Miniature Poodle,Cream,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818019
A818048,"5805 NORTH LAMAR BOULEVARD
AUSTIN 78752
(30.32671, -97.725834)",Yes (come to the shelter),06/01/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818048
A818087,"14620 PLOVER PLACE78617
(30.124188, -97.616141)",Yes (come to the shelter),06/01/2020,Cat,Domestic Shorthair,Brown Tiger,Intact Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818087
